udi,product_id,machine_type,factory_section,shift,air_temperature_K,process_temperature_K,temperature_difference,humidity_percent,rotational_speed_rpm,torque_Nm,pressure_bar,tool_wear_min,vibration_level,operational_hours,energy_consumption_kwh,maintenance_history,stress_score,machine_failure,failure_type
2005,L49184,L,Packaging,Evening,298.5,308.2,9.699999999999989,85,1451,47.5,1.57,18,Low,9856.0,142.04,Average,68.9225,0,
2006,L49185,L,Production,Night,298.5,308.3,9.800000000000011,50,1504,38.0,8.55,20,Medium,9082.0,28.48,Good,57.152,0,
2007,M16866,M,Testing,Morning,298.5,308.3,9.800000000000011,81,1381,50.5,8.94,22,Low,3640.0,134.4,Average,69.7405,0,
2008,L49187,L,Packaging,Night,298.6,308.4,9.799999999999955,44,1562,34.4,8.07,25,Medium,11414.0,58.71,Good,53.7328,0,
2009,L49188,L,Packaging,Evening,298.5,308.3,9.800000000000011,45,1811,24.7,8.39,27,Low,9427.0,110.98,Poor,44.7317,0,
2010,M16869,M,Production,Morning,298.6,308.3,9.699999999999989,84,1717,28.7,6.05,29,Medium,10640.0,63.32,Good,49.2779,0,
2011,L49190,L,Assembly,Night,298.6,308.3,9.699999999999989,87,1278,60.5,3.38,32,Low,7357.0,113.6,Average,77.319,0,
2012,L49191,L,Packaging,Morning,298.7,308.5,9.800000000000011,75,1616,30.2,6.79,34,Low,249.0,82.55,Average,48.8032,0,
2013,L49192,L,Assembly,Night,298.6,308.4,9.799999999999955,63,1397,46.4,4.96,36,Low,11498.0,88.48,Poor,64.82079999999999,0,
2014,L49193,L,Production,Night,298.6,308.4,9.799999999999955,35,1485,42.9,1.05,38,Medium,11820.0,113.14,Average,63.7065,0,
2015,L49194,L,Packaging,Morning,298.6,308.4,9.799999999999955,81,1310,59.7,5.29,40,Low,1724.0,37.36,Average,78.207,0,
2016,L49195,L,Cooling,Morning,298.5,308.2,9.699999999999989,27,1301,66.3,6.86,42,Low,7761.0,54.62,Good,86.2563,1,
2017,L49196,L,Production,Evening,298.5,308.3,9.800000000000011,61,1458,44.0,1.12,44,Medium,2674.0,129.3,Average,64.152,0,
2018,L49197,L,Production,Evening,298.7,308.5,9.800000000000011,49,1483,42.5,6.59,46,Low,4528.0,122.68,Good,63.0275,0,
2019,L49198,L,Cooling,Morning,298.7,308.5,9.800000000000011,45,1375,46.4,6.87,48,High,7629.0,148.74,Good,63.8,0,
2020,M16879,M,Production,Evening,298.7,308.5,9.800000000000011,66,1660,27.0,2.42,50,High,4369.0,22.98,Average,44.82,0,
2021,H31434,H,Cooling,Evening,298.7,308.4,9.699999999999989,25,1560,33.3,4.88,53,Medium,7869.0,38.48,Good,51.94799999999999,0,
2022,L49201,L,Cooling,Night,298.7,308.5,9.800000000000011,47,1480,42.2,9.68,58,Low,11576.0,63.85,Good,62.45600000000001,0,
2023,L49202,L,Production,Evening,298.7,308.4,9.699999999999989,48,1373,46.9,8.96,60,Medium,2208.0,110.14,Good,64.3937,0,
2024,L49203,L,Cooling,Night,298.7,308.5,9.800000000000011,71,1444,54.2,4.7,62,Low,4047.0,61.02,Good,78.26480000000001,0,
2025,M16884,M,Cooling,Evening,298.7,308.6,9.900000000000034,31,1722,24.7,4.15,64,Low,7999.0,64.98,Good,42.5334,0,
2026,L49205,L,Production,Morning,298.7,308.5,9.800000000000011,62,1469,39.9,2.12,67,Low,5014.0,49.57,Good,58.613099999999996,0,
2027,M16886,M,Cooling,Night,298.7,308.5,9.800000000000011,71,1360,52.9,1.32,69,High,6767.0,138.25,Good,71.944,0,
2028,L49207,L,Assembly,Evening,298.7,308.4,9.699999999999989,59,1750,25.8,3.68,72,Low,2363.0,91.18,Average,45.15,0,
2029,M16888,M,Production,Morning,298.7,308.3,9.600000000000023,86,1349,46.6,9.46,74,Medium,9904.0,40.76,Good,62.8634,0,
2030,L49209,L,Production,Night,298.7,308.5,9.800000000000011,27,1668,35.2,9.63,77,Medium,3915.0,95.69,Poor,58.71360000000001,0,
2031,L49210,L,Assembly,Evening,298.9,308.6,9.700000000000045,44,1400,49.5,8.31,79,Low,677.0,40.74,Poor,69.3,0,
2032,L49211,L,Testing,Morning,298.8,308.6,9.800000000000011,68,1331,62.8,4.16,81,Low,522.0,55.34,Good,83.5868,0,
2033,L49212,L,Packaging,Night,298.8,308.5,9.699999999999989,56,1444,42.2,2.29,83,High,2863.0,110.49,Good,60.936800000000005,0,
2034,H31447,H,Cooling,Evening,298.8,308.5,9.699999999999989,50,1359,47.6,6.36,85,Medium,1329.0,118.56,Good,64.6884,0,
2035,M16894,M,Cooling,Evening,298.8,308.5,9.699999999999989,72,1425,47.4,6.82,90,Medium,3276.0,76.3,Poor,67.545,0,
2036,M16895,M,Packaging,Night,298.9,308.6,9.700000000000045,29,1469,34.2,4.82,93,Low,9045.0,41.73,Average,50.2398,0,
2037,L49216,L,Cooling,Morning,299.0,308.7,9.699999999999989,83,1892,22.8,7.22,96,Low,787.0,47.5,Average,43.1376,0,
2038,H31451,H,Cooling,Night,299.0,308.7,9.699999999999989,85,1940,19.9,7.72,98,Low,822.0,90.15,Poor,38.606,0,
2039,L49218,L,Assembly,Morning,299.0,308.8,9.800000000000011,73,1405,55.2,8.05,103,Low,846.0,96.56,Poor,77.556,0,
2040,M16899,M,Assembly,Morning,299.0,308.9,9.899999999999977,54,1449,39.6,5.52,105,Low,4437.0,132.92,Average,57.3804,0,
2041,L49220,L,Assembly,Night,299.1,308.9,9.799999999999955,41,1686,29.6,8.12,108,Medium,2812.0,54.86,Average,49.90560000000001,0,
2042,L49221,L,Assembly,Morning,299.1,308.9,9.799999999999955,82,1680,27.2,1.23,110,Low,807.0,99.56,Poor,45.696,0,
2043,M16902,M,Production,Evening,299.1,308.9,9.799999999999955,87,1397,52.4,7.12,112,Low,8726.0,20.34,Poor,73.2028,0,
2044,M16903,M,Cooling,Night,299.2,309.0,9.800000000000011,85,1597,30.3,3.12,115,Medium,583.0,81.26,Good,48.3891,0,
2045,L49224,L,Packaging,Morning,299.3,309.1,9.800000000000011,87,1470,41.1,3.43,118,Medium,11810.0,71.75,Poor,60.417,0,
2046,M16905,M,Cooling,Evening,299.3,309.1,9.800000000000011,39,1703,31.3,1.82,120,Low,1633.0,35.62,Average,53.3039,0,
2047,L49226,L,Production,Morning,299.3,309.1,9.800000000000011,25,1388,45.5,2.73,123,Medium,269.0,135.86,Good,63.154,0,
2048,L49227,L,Production,Night,299.3,309.2,9.899999999999977,37,1775,24.2,9.93,125,Low,1120.0,34.05,Good,42.955,0,
2049,L49228,L,Cooling,Evening,299.3,309.2,9.899999999999977,72,1465,41.5,4.74,127,Low,7193.0,54.51,Average,60.7975,0,
2050,M16909,M,Cooling,Morning,299.3,309.2,9.899999999999977,58,1586,37.9,9.35,129,Low,6566.0,115.42,Good,60.109399999999994,0,
2051,M16910,M,Assembly,Night,299.5,309.3,9.800000000000011,54,1675,29.2,2.47,132,Medium,947.0,43.5,Average,48.91,0,
2052,M16911,M,Production,Morning,299.4,309.2,9.800000000000011,43,1470,44.4,2.84,135,Low,8987.0,29.98,Good,65.268,0,
2053,L49232,L,Cooling,Night,299.5,309.3,9.800000000000011,88,1477,40.4,6.02,138,Low,3446.0,146.02,Poor,59.67079999999999,0,
2054,L49233,L,Packaging,Evening,299.5,309.3,9.800000000000011,81,1382,61.0,4.15,140,Low,4113.0,58.16,Good,84.302,0,
2055,M16914,M,Packaging,Night,299.6,309.4,9.799999999999955,68,1605,29.8,6.8,142,Medium,8178.0,27.89,Good,47.829,0,
2056,L49235,L,Assembly,Evening,299.6,309.4,9.799999999999955,36,1643,32.9,4.8,145,Low,131.0,38.34,Poor,54.0547,0,
2057,L49236,L,Assembly,Morning,299.5,309.3,9.800000000000011,64,1333,54.1,8.3,147,Low,8468.0,48.92,Good,72.1153,0,
2058,L49237,L,Cooling,Morning,299.5,309.3,9.800000000000011,48,1520,42.3,4.88,149,Low,11256.0,144.59,Average,64.29599999999999,0,
2059,M16918,M,Packaging,Evening,299.5,309.3,9.800000000000011,35,1902,24.0,6.15,151,Low,10404.0,22.09,Good,45.648,0,
2060,H31473,H,Production,Morning,299.5,309.4,9.899999999999977,25,1386,44.4,3.89,154,Medium,7977.0,123.06,Poor,61.5384,0,
2061,L49240,L,Testing,Evening,299.6,309.5,9.899999999999977,82,1803,27.7,7.34,159,Medium,6270.0,121.52,Good,49.9431,0,
2062,L49241,L,Packaging,Morning,299.7,309.6,9.900000000000034,52,1359,50.7,6.89,161,Low,7930.0,84.95,Good,68.9013,0,
2063,M16922,M,Production,Morning,299.7,309.6,9.900000000000034,83,1477,42.7,4.57,163,Low,9794.0,141.28,Poor,63.0679,0,
2064,L49243,L,Packaging,Night,299.7,309.6,9.900000000000034,46,1321,53.4,3.48,166,Low,2415.0,21.75,Good,70.5414,0,
2065,L49244,L,Cooling,Night,299.6,309.5,9.899999999999977,53,1453,41.4,6.53,168,Low,10936.0,84.38,Poor,60.154199999999996,0,
2066,L49245,L,Testing,Night,299.7,309.6,9.900000000000034,69,1419,45.1,9.49,170,Low,165.0,52.95,Average,63.996900000000004,0,
2067,L49246,L,Testing,Evening,299.7,309.6,9.900000000000034,41,1512,36.2,2.19,172,Medium,2028.0,119.05,Good,54.7344,0,
2068,L49247,L,Cooling,Night,299.7,309.6,9.900000000000034,63,1553,36.8,8.19,174,High,5111.0,42.52,Good,57.1504,0,
2069,M16928,M,Cooling,Night,299.7,309.6,9.900000000000034,64,1534,39.1,5.89,176,High,7633.0,133.76,Good,59.9794,0,
2070,H31483,H,Assembly,Night,299.7,309.6,9.900000000000034,52,1553,41.0,5.73,179,High,6325.0,72.71,Good,63.673,0,
2071,L49250,L,Production,Morning,299.7,309.5,9.800000000000011,26,1352,49.7,9.66,184,Medium,5547.0,37.66,Good,67.1944,0,
2072,M16931,M,Production,Evening,299.7,309.6,9.900000000000034,51,1313,60.0,6.45,186,Medium,684.0,24.52,Average,78.78,0,
2073,L49252,L,Assembly,Night,299.6,309.5,9.899999999999977,45,1570,35.5,8.47,189,Low,6570.0,109.63,Poor,55.735,0,
2074,L49253,L,Production,Night,299.6,309.4,9.799999999999955,31,1677,31.1,5.63,191,Medium,6785.0,140.7,Good,52.154700000000005,0,
2075,L49254,L,Testing,Night,299.5,309.4,9.899999999999977,85,1602,31.5,3.25,193,Low,5344.0,146.08,Good,50.463,0,
2076,L49255,L,Packaging,Morning,299.5,309.4,9.899999999999977,76,1390,58.8,7.25,195,Low,8254.0,133.66,Average,81.732,1,
2077,L49256,L,Testing,Evening,299.4,309.3,9.900000000000034,72,1544,36.0,9.31,197,Medium,8051.0,70.64,Good,55.584,0,
2078,L49257,L,Assembly,Night,299.4,309.4,10.0,43,1701,31.2,8.57,199,Low,1848.0,137.76,Average,53.0712,0,
2079,M16938,M,Production,Night,299.4,309.3,9.900000000000034,36,1692,28.4,2.79,201,Low,7770.0,103.68,Good,48.0528,0,
2080,M16939,M,Production,Night,299.3,309.3,10.0,26,1523,37.9,3.85,204,High,2304.0,28.23,Poor,57.7217,0,
2081,L49260,L,Packaging,Morning,299.3,309.2,9.899999999999977,41,2280,15.4,5.65,207,Low,11922.0,42.21,Average,35.112,0,
2082,M16941,M,Packaging,Morning,299.4,309.3,9.900000000000034,27,1485,47.1,6.14,209,Low,1992.0,70.06,Good,69.9435,0,
2083,H31496,H,Packaging,Night,299.4,309.2,9.800000000000011,45,1513,36.1,2.74,212,High,7118.0,59.81,Average,54.6193,0,
2084,H31497,H,Testing,Morning,299.4,309.3,9.900000000000034,75,1743,28.2,3.07,0,Medium,10721.0,63.67,Average,49.1526,0,
2085,L49264,L,Assembly,Evening,299.5,309.3,9.800000000000011,34,1442,46.2,7.83,5,Medium,3193.0,115.55,Average,66.6204,0,
2086,L49265,L,Assembly,Night,299.5,309.3,9.800000000000011,79,1462,46.7,7.57,7,Low,1073.0,27.65,Good,68.2754,0,
2087,H31500,H,Assembly,Evening,299.4,309.3,9.900000000000034,60,1439,49.7,8.55,9,Low,4124.0,98.75,Good,71.5183,0,
2088,L49267,L,Testing,Evening,299.5,309.3,9.800000000000011,75,1577,36.6,9.4,14,High,10934.0,63.76,Good,57.7182,0,
2089,L49268,L,Cooling,Evening,299.6,309.4,9.799999999999955,41,1331,46.4,3.77,16,Medium,9734.0,134.71,Good,61.7584,0,
2090,L49269,L,Production,Morning,299.5,309.3,9.800000000000011,85,1941,22.5,8.74,18,Medium,6715.0,27.43,Good,43.6725,0,
2091,L49270,L,Testing,Morning,299.5,309.2,9.699999999999989,37,1393,47.3,6.99,20,Low,4429.0,146.32,Average,65.88889999999999,0,
2092,L49271,L,Assembly,Evening,299.4,309.2,9.800000000000011,89,1433,42.1,9.62,22,Low,6815.0,30.52,Good,60.3293,0,
2093,L49272,L,Testing,Morning,299.4,309.2,9.800000000000011,72,1444,48.2,3.45,24,High,1577.0,76.48,Good,69.6008,0,
2094,L49273,L,Testing,Morning,299.4,309.2,9.800000000000011,71,1564,39.0,3.43,26,Low,5789.0,131.42,Good,60.996,0,
2095,L49274,L,Cooling,Night,299.4,309.3,9.900000000000034,34,1377,43.6,7.34,28,Medium,9062.0,61.85,Good,60.037200000000006,0,
2096,L49275,L,Packaging,Night,299.4,309.3,9.900000000000034,81,1525,41.5,9.36,30,Low,7429.0,130.51,Good,63.2875,0,
2097,M16956,M,Assembly,Night,299.5,309.4,9.899999999999977,37,1387,56.2,8.42,32,Medium,6544.0,145.21,Average,77.94940000000001,0,
2098,M16957,M,Testing,Night,299.4,309.4,10.0,85,1326,47.5,7.54,35,High,8597.0,35.96,Poor,62.985,0,
2099,L49278,L,Packaging,Evening,299.4,309.3,9.900000000000034,82,1401,59.0,4.49,38,Medium,101.0,82.04,Average,82.659,0,
2100,L49279,L,Production,Morning,299.4,309.3,9.900000000000034,53,1596,31.8,7.46,40,Low,8562.0,50.0,Good,50.7528,0,
2101,M16960,M,Production,Evening,299.3,309.3,10.0,40,1471,46.0,8.21,42,Medium,11506.0,119.71,Average,67.666,0,
2102,L49281,L,Production,Night,299.3,309.3,10.0,87,1528,37.8,7.78,45,Medium,6943.0,34.04,Good,57.758399999999995,0,
2103,L49282,L,Testing,Night,299.3,309.3,10.0,71,1325,62.0,7.09,47,Low,9155.0,120.72,Good,82.15,0,
2104,M16963,M,Testing,Morning,299.3,309.1,9.800000000000011,67,1376,46.7,1.42,49,High,6072.0,107.8,Good,64.2592,0,
2105,M16964,M,Cooling,Morning,299.3,309.1,9.800000000000011,47,1600,35.3,6.94,52,Medium,8003.0,102.07,Good,56.47999999999999,0,
2106,L49285,L,Assembly,Morning,299.3,309.1,9.800000000000011,54,1495,44.0,5.3,55,High,5205.0,76.46,Average,65.78,0,
2107,L49286,L,Packaging,Night,299.4,309.1,9.700000000000045,81,1645,28.6,9.65,57,Medium,11031.0,85.2,Poor,47.047,0,
2108,M16967,M,Production,Morning,299.4,309.1,9.700000000000045,54,1417,47.3,6.46,59,Low,7802.0,33.05,Average,67.02409999999999,0,
2109,H31522,H,Packaging,Morning,299.4,309.0,9.600000000000023,80,1415,51.7,6.47,62,Low,3014.0,55.09,Good,73.1555,0,
2110,M16969,M,Cooling,Night,299.3,309.0,9.699999999999989,48,1496,43.4,9.95,67,Low,5256.0,138.74,Good,64.9264,0,
2111,H31524,H,Production,Evening,299.3,309.0,9.699999999999989,32,1508,35.0,1.84,70,High,8398.0,77.46,Good,52.78,0,
2112,L49291,L,Packaging,Evening,299.4,309.0,9.600000000000023,68,1436,47.9,3.49,75,Medium,3268.0,72.37,Poor,68.78439999999999,0,
2113,L49292,L,Assembly,Night,299.5,309.1,9.600000000000023,58,1852,22.6,6.9,77,Medium,2699.0,26.15,Good,41.8552,0,
2114,L49293,L,Assembly,Evening,299.5,309.1,9.600000000000023,59,1863,22.5,3.84,79,Low,5816.0,134.96,Good,41.9175,0,
2115,H31528,H,Cooling,Night,299.4,309.1,9.700000000000045,74,1373,44.1,4.12,81,Low,2335.0,117.94,Good,60.5493,0,
2116,L49295,L,Packaging,Evening,299.4,309.0,9.600000000000023,41,1404,47.3,9.03,86,Medium,2899.0,31.91,Average,66.4092,0,
2117,M16976,M,Cooling,Morning,299.4,309.0,9.600000000000023,26,1381,44.9,6.21,88,Low,7113.0,39.52,Average,62.0069,0,
2118,H31531,H,Cooling,Evening,299.4,308.9,9.5,78,1762,29.3,1.93,91,Low,9803.0,36.08,Good,51.626599999999996,0,
2119,H31532,H,Cooling,Night,299.3,308.9,9.599999999999966,68,1429,43.0,3.8,96,Medium,5573.0,104.92,Average,61.447,0,
2120,M16979,M,Testing,Night,299.3,308.9,9.599999999999966,73,1858,24.7,1.68,101,Low,118.0,40.66,Average,45.8926,0,
2121,H31534,H,Assembly,Evening,299.2,308.8,9.600000000000023,26,1908,21.3,6.01,104,Low,958.0,149.36,Average,40.6404,0,
2122,M16981,M,Testing,Night,299.2,308.8,9.600000000000023,33,1503,37.4,2.56,109,Low,9708.0,94.58,Poor,56.212199999999996,0,
2123,M16982,M,Testing,Evening,299.2,308.8,9.600000000000023,25,1523,38.9,8.71,112,Low,5480.0,133.12,Poor,59.244699999999995,0,
2124,L49303,L,Assembly,Night,299.3,309.0,9.699999999999989,33,1491,38.4,6.2,115,High,3132.0,114.91,Good,57.254400000000004,0,
2125,L49304,L,Cooling,Morning,299.2,308.9,9.699999999999989,38,1430,39.1,1.53,117,Low,4605.0,23.18,Average,55.913,0,
2126,L49305,L,Packaging,Evening,299.3,308.9,9.599999999999966,51,1258,69.4,3.71,119,Low,9718.0,74.75,Average,87.30520000000001,1,
2127,L49306,L,Cooling,Evening,299.3,309.0,9.699999999999989,33,1449,46.5,6.55,121,Low,5889.0,67.01,Good,67.3785,0,
2128,H31541,H,Cooling,Morning,299.3,309.0,9.699999999999989,60,1425,40.6,4.02,123,Medium,2631.0,143.78,Average,57.855,0,
2129,L49308,L,Testing,Night,299.4,309.0,9.600000000000023,27,1800,24.3,5.62,128,Low,7571.0,63.99,Good,43.74,0,
2130,H31543,H,Packaging,Evening,299.4,309.0,9.600000000000023,47,1607,33.7,9.18,130,Medium,4819.0,109.37,Average,54.1559,0,
2131,L49310,L,Assembly,Morning,299.4,309.0,9.600000000000023,54,1391,58.2,4.15,135,Low,4963.0,96.63,Good,80.9562,0,
2132,L49311,L,Production,Night,299.4,309.1,9.700000000000045,43,1432,45.4,4.02,137,Low,4138.0,115.76,Average,65.0128,0,
2133,L49312,L,Assembly,Morning,299.4,309.0,9.600000000000023,74,1660,28.4,8.38,139,Low,10523.0,27.97,Good,47.144,0,
2134,H31547,H,Packaging,Morning,299.3,309.0,9.699999999999989,72,1732,29.7,3.87,141,Medium,2552.0,141.0,Good,51.440400000000004,0,
2135,L49314,L,Assembly,Evening,299.3,309.0,9.699999999999989,27,1473,46.3,1.7,146,High,2946.0,149.09,Good,68.1999,0,
2136,L49315,L,Testing,Night,299.3,309.0,9.699999999999989,51,1511,47.8,2.63,148,Low,8164.0,92.07,Good,72.2258,0,
2137,L49316,L,Packaging,Evening,299.2,308.9,9.699999999999989,64,1588,41.5,9.54,150,Medium,11494.0,41.36,Poor,65.902,0,
2138,L49317,L,Production,Night,299.3,308.9,9.599999999999966,42,1623,31.1,9.4,152,High,6722.0,133.03,Good,50.475300000000004,0,
2139,L49318,L,Production,Night,299.3,309.0,9.699999999999989,51,1734,30.6,3.02,154,Low,10108.0,104.15,Good,53.0604,0,
2140,L49319,L,Packaging,Morning,299.3,309.0,9.699999999999989,35,1415,47.6,5.98,156,Medium,10072.0,101.11,Average,67.354,0,
2141,L49320,L,Assembly,Morning,299.3,309.0,9.699999999999989,63,1419,46.6,2.24,158,Low,8996.0,135.04,Good,66.12540000000001,0,
2142,M17001,M,Production,Evening,299.3,308.9,9.599999999999966,43,1577,34.9,7.07,160,High,9633.0,115.09,Good,55.037299999999995,0,
2143,L49322,L,Packaging,Night,299.3,308.9,9.599999999999966,31,1376,60.3,2.67,163,Medium,3562.0,139.57,Good,82.9728,0,
2144,M17003,M,Packaging,Morning,299.3,308.8,9.5,81,1442,49.0,1.45,165,High,11882.0,144.49,Average,70.658,0,
2145,L49324,L,Packaging,Night,299.4,308.9,9.5,26,1451,40.5,8.42,168,Medium,1259.0,64.83,Poor,58.7655,0,
2146,L49325,L,Cooling,Morning,299.3,308.8,9.5,62,1550,45.8,3.93,170,Low,4726.0,45.73,Average,70.99,0,
2147,L49326,L,Assembly,Morning,299.3,308.8,9.5,29,1647,32.9,1.98,172,High,7156.0,70.11,Poor,54.186299999999996,0,
2148,L49327,L,Packaging,Evening,299.4,308.9,9.5,60,1550,33.7,8.51,174,Low,3822.0,145.78,Average,52.23500000000001,0,
2149,L49328,L,Packaging,Night,299.4,308.9,9.5,81,1583,34.1,7.86,176,Low,11730.0,44.88,Poor,53.9803,0,
2150,L49329,L,Cooling,Morning,299.4,309.0,9.600000000000023,44,1613,32.2,7.15,178,Medium,3660.0,96.84,Good,51.93860000000001,0,
2151,H31564,H,Testing,Night,299.3,308.8,9.5,29,1636,35.5,9.2,180,Medium,11374.0,30.95,Good,58.078,0,
2152,M17011,M,Cooling,Night,299.3,308.7,9.399999999999977,48,1289,51.5,5.4,185,High,6217.0,128.22,Good,66.3835,0,
2153,M17012,M,Packaging,Night,299.3,308.8,9.5,54,1648,28.4,2.15,188,Low,6689.0,106.87,Good,46.8032,0,
2154,H31567,H,Assembly,Morning,299.3,308.8,9.5,52,1397,45.4,1.55,191,Medium,10007.0,87.87,Average,63.42379999999999,0,
2155,M17014,M,Cooling,Night,299.3,308.9,9.599999999999966,77,1767,24.8,3.87,196,Medium,6949.0,101.9,Good,43.8216,0,
2156,L49335,L,Packaging,Evening,299.3,308.8,9.5,75,1341,47.7,1.78,199,Low,2343.0,35.22,Average,63.965700000000005,0,
2157,M17016,M,Assembly,Evening,299.4,308.9,9.5,31,1457,41.5,5.82,201,Low,8277.0,131.99,Good,60.4655,0,
2158,M17017,M,Cooling,Morning,299.4,309.0,9.600000000000023,66,1939,19.8,1.13,204,Low,1860.0,64.22,Good,38.3922,0,
2159,M17018,M,Production,Evening,299.5,309.0,9.5,59,1399,49.7,4.99,207,Low,5542.0,41.99,Good,69.5303,0,
2160,M17019,M,Assembly,Evening,299.5,309.0,9.5,58,1602,31.3,2.61,210,High,10088.0,21.92,Good,50.1426,0,
2161,L49340,L,Packaging,Morning,299.4,309.0,9.600000000000023,78,1507,41.0,4.31,213,Medium,7779.0,27.89,Poor,61.787,0,
2162,L49341,L,Assembly,Night,299.4,309.1,9.700000000000045,53,1464,40.5,7.08,215,Medium,2775.0,107.31,Average,59.292,0,
2163,L49342,L,Assembly,Morning,299.5,309.1,9.600000000000023,34,1336,42.1,4.16,217,High,7224.0,113.4,Average,56.245599999999996,0,
2164,L49343,L,Packaging,Morning,299.6,309.2,9.599999999999966,51,1422,39.8,4.07,219,Low,5881.0,39.35,Good,56.5956,0,
2165,L49344,L,Production,Evening,299.6,309.2,9.599999999999966,37,1540,36.7,9.92,221,Medium,3336.0,98.74,Good,56.51800000000001,0,
2166,L49345,L,Assembly,Morning,299.5,309.1,9.600000000000023,66,1476,47.8,7.47,223,Low,5998.0,82.79,Good,70.5528,0,
2167,M17026,M,Packaging,Night,299.6,309.2,9.599999999999966,61,1867,23.4,5.62,225,High,8335.0,141.83,Average,43.687799999999996,1,
2168,H31581,H,Assembly,Morning,299.6,309.1,9.5,85,1588,41.3,6.21,0,Low,8780.0,106.48,Good,65.58439999999999,0,
2169,M17028,M,Testing,Morning,299.5,309.1,9.600000000000023,45,1420,49.5,6.58,5,High,4376.0,87.64,Average,70.29,0,
2170,L49349,L,Production,Night,299.5,309.1,9.600000000000023,27,1415,49.2,1.22,8,Low,11440.0,56.89,Average,69.618,0,
2171,M17030,M,Testing,Morning,299.4,309.1,9.700000000000045,32,1500,43.3,1.72,10,Low,4823.0,80.03,Good,64.94999999999999,0,
2172,L49351,L,Assembly,Night,299.5,309.1,9.600000000000023,41,1502,44.6,6.84,13,Medium,9248.0,52.12,Average,66.9892,0,
2173,L49352,L,Production,Night,299.5,309.2,9.699999999999989,34,1816,23.0,4.28,15,Low,10406.0,108.19,Average,41.768,0,
2174,M17033,M,Packaging,Evening,299.5,309.2,9.699999999999989,37,1495,41.6,1.5,17,Medium,5744.0,97.23,Good,62.192,0,
2175,L49354,L,Testing,Morning,299.6,309.2,9.599999999999966,36,1572,33.4,3.68,20,Low,1215.0,58.52,Average,52.504799999999996,0,
2176,M17035,M,Production,Night,299.5,309.2,9.699999999999989,47,1590,35.9,2.17,22,Medium,1881.0,21.57,Average,57.081,0,
2177,M17036,M,Production,Morning,299.6,309.3,9.699999999999989,89,1387,48.3,9.25,25,Low,11118.0,147.76,Good,66.9921,0,
2178,M17037,M,Assembly,Evening,299.6,309.2,9.599999999999966,76,1393,47.7,2.83,28,Low,8942.0,26.89,Good,66.4461,0,
2179,L49358,L,Testing,Evening,299.6,309.2,9.599999999999966,85,1602,37.3,2.29,31,Low,1976.0,91.11,Good,59.754599999999996,0,
2180,L49359,L,Packaging,Evening,299.6,309.2,9.599999999999966,50,1601,33.3,6.64,33,Low,5463.0,130.76,Poor,53.3133,0,
2181,H31594,H,Cooling,Night,299.6,309.2,9.599999999999966,39,1597,36.3,5.7,35,Low,8632.0,100.74,Good,57.9711,0,
2182,H31595,H,Assembly,Evening,299.5,309.1,9.600000000000023,46,1548,44.3,6.18,40,Low,11242.0,96.3,Good,68.57639999999999,0,
2183,M17042,M,Production,Morning,299.5,309.2,9.699999999999989,89,1314,61.8,4.92,45,Low,3475.0,112.96,Good,81.20519999999999,0,
2184,M17043,M,Testing,Morning,299.6,309.3,9.699999999999989,50,1577,39.8,5.2,48,Low,10737.0,60.06,Good,62.7646,0,
2185,L49364,L,Cooling,Night,299.8,309.4,9.599999999999966,45,1475,43.4,8.01,51,Medium,2850.0,70.65,Good,64.015,0,
2186,L49365,L,Production,Morning,299.8,309.4,9.599999999999966,48,1630,32.4,2.98,53,High,10436.0,30.99,Good,52.812,0,
2187,L49366,L,Testing,Night,299.7,309.4,9.699999999999989,40,1445,42.9,4.57,55,Low,9646.0,20.61,Good,61.9905,0,
2188,M17047,M,Testing,Evening,299.8,309.4,9.599999999999966,56,1439,47.4,9.62,57,Medium,3376.0,54.39,Average,68.20859999999999,0,
2189,L49368,L,Cooling,Night,299.7,309.3,9.600000000000023,40,1420,44.1,2.71,60,Medium,548.0,125.85,Poor,62.622,0,
2190,H31603,H,Production,Night,299.7,309.2,9.5,66,1554,41.6,3.64,62,Low,5637.0,99.51,Good,64.6464,0,
2191,M17050,M,Cooling,Morning,299.6,309.1,9.5,56,1471,44.3,2.72,67,Medium,4272.0,38.12,Poor,65.1653,0,
2192,L49371,L,Packaging,Morning,299.6,309.0,9.399999999999977,74,1648,33.6,1.18,70,Low,9089.0,75.44,Good,55.372800000000005,0,
2193,L49372,L,Assembly,Evening,299.6,309.0,9.399999999999977,65,1472,48.8,3.43,72,Medium,3596.0,22.54,Average,71.83359999999999,0,
2194,M17053,M,Assembly,Morning,299.5,308.9,9.399999999999977,48,1448,42.9,1.42,74,Low,2282.0,124.29,Good,62.1192,0,
2195,M17054,M,Packaging,Morning,299.6,308.9,9.299999999999955,37,1568,35.3,2.39,77,Medium,3426.0,79.94,Good,55.35039999999999,0,
2196,L49375,L,Production,Morning,299.6,308.9,9.299999999999955,34,1613,30.8,4.26,80,Medium,8937.0,56.0,Good,49.6804,0,
2197,M17056,M,Cooling,Morning,299.7,308.9,9.199999999999989,66,1551,35.4,1.19,82,Low,819.0,119.86,Good,54.90539999999999,0,
2198,L49377,L,Assembly,Morning,299.7,309.0,9.300000000000011,65,1412,49.2,7.78,85,Low,1622.0,146.15,Average,69.47040000000001,0,
